#{"t_start": 1712439916.3592942, "env_id": "None"}
r,l,t
-10654.548013,4301,3093.588811
-10606.082562,4301,6085.23248
-10376.547359,4301,9106.802248
-10054.244724,4301,12094.084833
-9994.999062,4301,15312.69821
-9665.836591,4301,18629.693593
-9470.999756,4301,22129.38709
-8886.248363,4301,25788.697914
-8596.901799,4301,29309.279629
-8290.934084,4301,33075.561681
-8204.285234,4301,37209.534192
-7857.596396,4301,41037.085123
