#{"t_start": 1713981361.4374714, "env_id": "None"}
r,l,t
-58839.711148,3601,6382.702458
-57848.247996,3601,12206.918428
-55365.891642,3601,17702.428179
-55473.785803,3601,23686.168881
-52781.471198,3601,29758.758305
-49561.166374,3601,35681.184242
-46805.740732,3601,41858.691174
